nseg,cap_ini,prob_ruina_seed_02,prob_ruina_seed_20,prob_ruina_seed_200
50,0.0,97.10600000000001,97.024,97.136
80,0.0,96.88600000000001,96.95,96.898
100,0.0,96.712,96.684,96.794
50,10000.0,95.88600000000001,96.0,95.882
80,10000.0,95.622,95.856,95.832
100,10000.0,95.732,95.646,95.624
50,30000.0,93.524,93.396,93.614
80,30000.0,93.33,93.484,93.32000000000001
100,30000.0,93.348,93.378,93.586
50,50000.0,91.186,90.99000000000001,90.914
80,50000.0,90.836,90.86,91.16
100,50000.0,91.19800000000001,91.024,90.75
50,70000.0,88.75999999999999,88.486,88.68599999999999
80,70000.0,88.356,88.84,88.712
100,70000.0,88.276,88.53999999999999,88.534
50,100000.0,84.896,85.218,85.188
80,100000.0,85.2,84.936,85.214
100,100000.0,85.03399999999999,85.174,85.212
50,500000.0,44.59,44.754,44.658
80,500000.0,44.704,44.862,44.75
100,500000.0,44.704,45.028,44.676
50,1.0e6,14.430000000000001,14.81,14.352
80,1.0e6,15.001999999999999,14.154,14.643999999999998
100,1.0e6,14.48,14.612,14.557999999999998
